trainee,id,cat,subcat,grade
15,5,자격증,직무 관련 자격증 (적합도),C
15,5,자격증,자격증 수준,C
15,5,자격증,자격증 최신성,C
15,6,학력,최종 학위 수준,C
15,6,학력,출신 학교 수준,B
15,6,학점,출신 학교 수준,D
15,6,경력,총 경력 연수,D
15,6,경력,직무 연관성,A
15,6,경력,성과 및 기여도,B
15,6,교육이력,전문교육 수료 여부,C
15,6,교육이력,기업 내 교육 참여,E
15,6,교육이력,자기개발 노력,A
15,6,자격증,직무 관련 자격증 (적합도),E
15,6,자격증,자격증 수준,E
15,6,자격증,자격증 최신성,E
15,7,학력,최종 학위 수준,C
15,7,학력,출신 학교 수준,A
15,7,학점,출신 학교 수준,E
15,7,경력,총 경력 연수,B
15,7,경력,직무 연관성,A
15,7,경력,성과 및 기여도,A
15,7,교육이력,전문교육 수료 여부,C
15,7,교육이력,기업 내 교육 참여,B
15,7,교육이력,자기개발 노력,A
15,7,자격증,직무 관련 자격증 (적합도),E
15,7,자격증,자격증 수준,E
15,7,자격증,자격증 최신성,E
15,8,학력,최종 학위 수준,D
15,8,학력,출신 학교 수준,C
15,8,학점,출신 학교 수준,E
15,8,경력,총 경력 연수,D
15,8,경력,직무 연관성,A
15,8,경력,성과 및 기여도,B
15,8,교육이력,전문교육 수료 여부,C
15,8,교육이력,기업 내 교육 참여,E
15,8,교육이력,자기개발 노력,B
15,8,자격증,직무 관련 자격증 (적합도),C
15,8,자격증,자격증 수준,C
15,8,자격증,자격증 최신성,B
15,9,학력,최종 학위 수준,D
15,9,학력,출신 학교 수준,B
15,9,학점,출신 학교 수준,A
15,9,경력,총 경력 연수,D
15,9,경력,직무 연관성,B
15,9,경력,성과 및 기여도,B
15,9,교육이력,전문교육 수료 여부,B
15,9,교육이력,기업 내 교육 참여,E
15,9,교육이력,자기개발 노력,A
15,9,자격증,직무 관련 자격증 (적합도),D
15,9,자격증,자격증 수준,D
15,9,자격증,자격증 최신성,C
15,10,학력,최종 학위 수준,D
15,10,학력,출신 학교 수준,C
15,10,학점,출신 학교 수준,A
15,10,경력,총 경력 연수,C
15,10,경력,직무 연관성,A
15,10,경력,성과 및 기여도,A
15,10,교육이력,전문교육 수료 여부,B
15,10,교육이력,기업 내 교육 참여,E
15,10,교육이력,자기개발 노력,A
15,10,자격증,직무 관련 자격증 (적합도),B
15,10,자격증,자격증 수준,B
15,10,자격증,자격증 최신성,A
15,11,학력,최종 학위 수준,A
15,11,학력,출신 학교 수준,B
15,11,학점,출신 학교 수준,E
15,11,경력,총 경력 연수,A
15,11,경력,직무 연관성,A
15,11,경력,성과 및 기여도,B
15,11,교육이력,전문교육 수료 여부,C
15,11,교육이력,기업 내 교육 참여,C
15,11,교육이력,자기개발 노력,B
15,11,자격증,직무 관련 자격증 (적합도),E
15,11,자격증,자격증 수준,E
15,11,자격증,자격증 최신성,E
15,12,학력,최종 학위 수준,A
15,12,학력,출신 학교 수준,A
15,12,학점,출신 학교 수준,E
15,12,경력,총 경력 연수,B
15,12,경력,직무 연관성,A
15,12,경력,성과 및 기여도,B
15,12,교육이력,전문교육 수료 여부,B
15,12,교육이력,기업 내 교육 참여,C
15,12,교육이력,자기개발 노력,A
15,12,자격증,직무 관련 자격증 (적합도),C
